timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1473926370589,162,Зачистка базы,200,OK,setUp Thread Group 1-1,text,true,,9,1,1,153,0
1473926370751,2,Контроль что база пустая,200,OK,setUp Thread Group 1-1,text,true,,8,1,1,0,0
1473926370837,136,Send 01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,183,1,5,136,0
1473926370838,137,Send 01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,183,1,5,137,0
1473926370840,135,Send 01-07-08(07),200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,183,1,5,134,0
1473926370835,147,Send 01-01-01,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,183,1,5,146,0
1473926370841,313,Send 01-11-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,5,313,0
1473926371155,14,Send 01-06-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,5,14,0
1473926371169,10,Send 01-09-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,5,10,0
1473926430977,43,CheckNewContaner_01-07-08,200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,557,1,5,42,0
1473926430975,56,CheckNewContaner_01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,557,1,5,56,0
1473926430977,58,CheckNewContaner_01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,557,1,5,56,0
1473926430984,52,CheckNewContaner_01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,557,1,5,50,0
1473926431025,65,RecivingContaner-01-07-08,(null),unknown/unknown,01ДО - 07 контроль 08 формирование 4-1,text,false,,19,1,5,65,0
1473926431037,53,RecivingContaner-01-10-04,(null),unknown/unknown,01ДО - 01 посылка 10 формирование  1-1,text,false,,19,1,5,53,0
1473926431036,53,RecivingContaner-01-04-06,(null),unknown/unknown,01ДО - 04 контроль 05 формирование 3-1,text,false,,19,1,5,53,0
1473926431031,58,RecivingContaner-01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,7943,1,5,58,0
1473926431180,6,JDBC CheckNewContaner_01-08-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,518,1,1,0,0
1473938893390,103,Send 01-01-01,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,183,1,1,102,0
1473938953494,103,CheckNewContaner_01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,557,1,1,103,0
1473938953600,18,RecivingContaner-01-10-04,(null),unknown/unknown,01ДО - 01 посылка 10 формирование  1-1,text,false,,19,1,1,18,0
1473939371428,28,CheckNewContaner_01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,557,1,1,28,0
1473939371458,0,Debug Sampler,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,1434,1,1,0,0
1473939601543,77,CheckNewContaner_01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,557,1,1,77,0
1473939601621,0,Debug Sampler,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,1152,1,1,0,0
1473939707895,93,CheckNewContaner_01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,557,1,1,92,0
1473939707989,1,Debug Sampler,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,1151,1,1,0,0
1473942826557,221,Зачистка базы,200,OK,setUp Thread Group 1-1,text,true,,9,1,1,129,0
1473942826779,4,Контроль что база пустая,200,OK,setUp Thread Group 1-1,text,true,,8,1,1,0,0
1473942826879,84,Send 01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,183,1,5,83,0
1473942826879,85,Send 01-07-08(07),200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,183,1,5,85,0
1473942826880,85,Send 01-11-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,5,84,0
1473942826878,88,Send 01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,183,1,5,88,0
1473942826877,90,Send 01-01-01,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,183,1,5,90,0
1473942826966,12,Send 01-06-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,5,12,0
1473942826979,12,Send 01-09-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,183,1,5,10,0
1473942886993,7,JDBC CheckNewContaner_01-08-09,200,OK,"01ДО - 11,06,09 контроль  5-1",text,true,,518,1,5,0,0
1473942886967,37,CheckNewContaner_01-07-08,200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,557,1,4,36,0
1473942886969,40,CheckNewContaner_01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,557,1,4,39,0
1473942886966,45,CheckNewContaner_01-04-06,200,OK,01ДО - 04 контроль 05 формирование 3-1,text,true,,557,1,4,45,0
1473942887010,7,RecivingContaner-01-10-04,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,184,1,4,6,0
1473942886968,51,CheckNewContaner_01-02-09,200,OK,01ДО - 02 контроль 2-1,text,true,,557,1,4,50,0
1473942887020,1,Debug Sampler,200,OK,01ДО - 01 посылка 10 формирование  1-1,text,true,,771,1,4,0,0
1473942887006,20,RecivingContaner-01-07-08,200,OK,01ДО - 07 контроль 08 формирование 4-1,text,true,,6821,1,3,19,0
